business_id,business_name,general_category,latitude,longitude,street,zone_type,status
1,SANTA MARIA 888 Hardware & CONSTRUCTION SUPPLIES,Merchandise / Trading,14.83326,120.95468,Gulod St.,Commercial,Active
2,VK Food & Beverages,Food & Beverages,14.83335,120.95478,Gulod St.,Commercial,Active
3,Reymalyn Loading Station,Retail,14.83373,120.95497,Gulod St.,Commercial,Active
4,Nanay Mercy & KMS Carwash,Services,14.8336,120.95501,Gulod St.,Commercial,Active
5,BIGOTE'S MAMIHAN,Restaurant,14.83397,120.95488,Gulod St.,Commercial,Active
6,Pau Motorcycle Shop,Services,14.83471,120.95503,Luwasan St.,Commercial,Active
7,EDANOZO Merchandising / Trading,Merchandising / Trading ,14.83463,120.95514,Luwasan St.,Commercial,Active
8,Dalen's Store,Retail,14.83477,120.95515,Luwasan St.,Commercial,Active
9,Heteroza Pizza Pasta Frappe A.T.B.P,Restaurant,14.83486,120.95501,Luwasan St.,Commercial,Active
10,Mr. BREWSKO,Food & Beverages,14.83515,120.9551,Luwasan St.,Commercial,Active
11,Xyreel's Store,Retail,14.83558,120.95525,Centro St.,Commercial,Active
12,Centro Eatery,Restaurant,14.83574,120.95533,Centro St.,Commercial,Active
13,KAF Services - STA. CRUZ BRANCH,Services,14.83591,120.95561,Centro St.,Commercial,Active
14,HAIRCHITECT BARBERSHOP,Services,14.83619,120.95581,Centro St.,Commercial,Active
15,R.C.S. MINI MART,Retail,14.83656,120.95555,Centro St.,Commercial,Active
16,SnJ Food Hub,Restaurant,14.8374,120.95592,Pag-asa St.,Commercial,Active
17,Casa David Private Entertainment / Leisure,Entertainment / Leisure,14.83736,120.95666,Pag-asa St.,Commercial,Active
18,D.C. Marianos Hardware and Construction Supplies,Merchandise / Trading,14.83752,120.95728,Pag-asa St.,Residential,Active
19,Rjhaynne Beverages Trading,Retail,14.83734,120.95805,Pag-asa St.,Commercial,Active
20,JayJays Peanut butter,Retail,14.83671,120.95762,Pag-asa St.,Residential,Active
21,Idols Sizzlingan Atbp.,Restaurant,14.83763,120.95888,Bukid St.,Commercial,Active
22,MNMs Talipapa & Sari Sari Store,Retail,14.83765,120.95897,Bukid St.,Commercial,Active
23,BigBrew Sta. Cruz - Sta. Maria Bulacan,Food & Beverages,14.83779,120.96005,Bukid St.,Commercial,Active
24,Kambal Inasal,Restaurant,14.83767,120.96001,Bukid St.,Commercial,Active
25,Crystal World,Services,14.83768,120.96035,Bukid St.,Residential,Active
26,Boss kleng vape shop,Retail,14.83448,120.96379,Matahimik St.,Residential,Active
27,Santa Cruz Bully Kennel,Pet Store,14.83491,120.96222,Matahimik St.,Commercial,Active
28,Sta. Cruz 888 Metal Trading and Hardware,Merchandise / Trading,14.83491,120.96183,Matahimik St.,Residential,Active
29,MNM Frozen Meat Trading,Retail,14.83486,120.96158,Maunlad St.,Commercial,Active
30,DM² Food Hub/Double D' Brew,Food & Beverages,14.83478,120.9616,Maunlad St.,Commercial,Active
31,Cornelio LPG Store,Retail,14.83556,120.95947,Maunlad St.,Residential,Active
32,ML Photography Studio,Services,14.83323,120.95969,Maligaya St.,Residential,Active
33,Mg Events Catering Services,Services,14.83347,120.95896,Maligaya St.,Residential,Active
34,LOLET'S ,Restaurant,14.83197,120.96245,Mapayapa St.,Commercial,Active
35,JLM's STORE,Retail,14.83183,120.96242,Mapayapa St.,Residential,Active
36,Nessies Store,Retail,14.83178,120.96252,Mapayapa St.,Residential,Active
37,BlesZas Eatery,Restaurant,14.83185,120.96281,Mapayapa St.,Commercial,Active
38,Sabon Depot Dealer,Retail,14.83106,120.96306,Mapayapa St.,Commercial,Active
39,RAYMOND PHONE REPAIR AND CCTV,Services,14.83713,120.95015,Sonoma Residences,Residential,Active
40,3K Hardware and Constriction Supply,Merchandise / Trading,14.83735,120.9505,Sonoma Residences,Residential,Active
41,MELANIO FARM FRESH EGGS - WHOLESALE and RETAIL,Retail,14.83785,120.95023,Sonoma Residences,Residential,Active
42,Garage Gym,Services,14.83868,120.9508,Sonoma Residences,Residential,Active
43,BNC STORE,Retail,14.8373,120.95092,Sonoma Residences,Residential,Active
44,Vicky's Cakes and Pastries,Retail,14.83802,120.95583,Housing Project,Commercial,Active
45,YANI'S LECHON MANOK,Retail,14.83812,120.95599,Housing Project,Commercial,Active
46,Sandra Store,Retail,14.83918,120.95609,Housing Project,Commercial,Active
